A15987303,,,,Ginger,,4/23/2000,,,Dog,,"Terrier, Yorkshire / Mix",,,,,Brown / Black / Tan,,Yes / Female,
5130,,,Expired,12/26/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,12/26/2012,,No,,,,,,,,,,,,,
A14914460,,,,Mocha,,12/26/2010,,,Dog,,"Maltese / Terrier, Yorkshire",,,,,Black / Blond,,No / Female,
2258,,,Expired,2/24/2013 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,2/24/2013,,No,,,,,,,,,,,,,
A15495291,,,,queen,,2/24/2005,,,Dog,,Rottweiler,,,,,Black / Brown,,No / Female,
3821,,,Expired,3/7/2013 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,3/7/2013,,No,,,,,,,,,,,,,
A15574661,,,,Versace,,3/7/2011,,,Dog,,Great Dane,,,,,Black / White,,No / Female,
2217,,,Expired,2/5/2013 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,2/5/2013,,No,,,,,,,,,,,,,
A15179402,,,,Xena,,2/5/2008,,,Dog,,"Bulldog, American",,,,,Brindle / White,,Yes / Female,
3932,,,Expired,6/30/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2012,,No,,,,,,,,,,,,,
A15831804,,,,Moet,,6/26/2011,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brown / White,,No / Female,
5039,,,Inactive,3/20/2014 12:14:25 PM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16185015,,,,Moon Dog,,11/12/2010,,,Dog,,Pug / Mix,,,,,Tan,,No / Male,
5023,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16226931,,,,Naula,,5/18/2009,,,Dog,,"Terrier, Pit Bull",,,,,Tan / White,,No / Female,
1158,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH LT,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17383682,,,,Daisy,,,,,Dog,,Newfoundland,,,,,Black,,No / Female,
5091,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A12401137,,,,Precious,,8/16/2006,,,Dog,,"Chihuahua, Short Coat / Mix",,,,,Black / White,,Yes / Female,
2230,,,Expired,2/5/2013 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,2/5/2013,,No,,,,,,,,,,,,,
A15179462,,,,Hulk,,2/5/2008,,,Dog,,"Bulldog, American",,,,,Tan / White,,Yes / Male,
4578,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16875432,,,,Bocchus,,10/2/2011,,,Dog,,"Bulldog, American / Mix",,,,,White / Brown,,No / Male,
2237,,,Expired,2/3/2013 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,2/3/2013,,No,,,,,,,,,,,,,
A15169457,,,,Zeus,,2/3/2010,,,Dog,,German Shepherd / Mix,,,,,Black,,No / Male,
0516,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A15553575,,,,Taz,,12/11/2008,,,Dog,,Rottweiler / Mix,,,,,Black,,No / Male,
5300,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A14524127,,,,Sparky,,11/17/2009,,,Dog,,"Terrier, Yorkshire / Mix",,,,,Brown / Silver,,Yes / Male,
5668,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17209348,,,,Jason,,6/13/2012,,,Dog,,Akita / Chinese Shar-Pei,,,,,Brown / Black,,Yes / Male,
5670,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17317694,,,,Mocha Carter,,9/26/2010,,,Dog,,"Terrier, Boston",,,,,Brown,,No / Female,
0304,,,Inactive,3/26/2014 12:20:18 PM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A13708933,,,,Otis,,7/30/2010,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brown / White,,Yes / Male,
5321,,,Expired,10/6/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,10/6/2012,,No,,,,,,,,,,,,,
A14233905,,,,Nana,,4/6/2010,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Blue / White,,No / Female,
4541,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A14046176,,,,Treasure,,9/13/2005,,,Dog,,"Terrier, American Pit Bull / Mix",,,,,Black / White,,Yes / Male,
3577,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A14352329,,,,Yagi,,10/23/2002,,,Dog,,"Terrier, Boston",,,,,Black / White,,No / Male,
3099,,,Inactive,2/10/2014 11:00:07 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A14576579,,,,Loki,,11/26/2010,,,Dog,,Australian Shepherd / Australian Cattle Dog,,,,,Black / White,,Yes / Male,
0119,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18668016,,,,Roxy,,12/5/2010,,,Dog,,Beagle / Mix,,,,,Black / Brown,,No / Female,
5074,,,Expired,9/15/2012 12:00:00 AM,,Dog License No S/N,,,,,DCAC/NVB,,,,,$50.00,,,
,,,,9/15/2012,,No,,,,,,,,,,,,,
A14062147,,,,Passion,,9/15/2009,,,Dog,,Akita,,,,,White / Brown,,No / Female,
5052,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16185790,,,,Tater,,5/13/2002,,,Dog,,"Retriever, Labrador",,,,,Black,,No / Male,
0215,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18671460,,,,Lottie,,,,,Dog,,Samoyed,,,,,White,,No / Female,
3823,,,Expired,3/12/2013 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,3/12/2013,,No,,,,,,,,,,,,,
A15601604,,,,Buster,,4/12/2011,,,Dog,,"Bulldog, American / Mastiff",,,,,Blond,,No / Male,
0414,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16042397,,,,Lexi,,10/25/2011,,,Dog,,Beagle / Mix,,,,,Black / Tan,,No / Female,
5060,,,Inactive,3/20/2014 12:18:09 PM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16185004,,,,Xiao Long,,11/12/2010,,,Dog,,Pug / Mix,,,,,Tan,,No / Male,
0284,,,Inactive,4/1/2014 12:15:32 PM,,Dog License No S/N,,,,,DCACC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18674732,,,,Molly,,5/30/2010,,,Dog,,"Schnauzer, Miniature",,,,,White,,Yes / Female,
5252,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16672250,,,,Patch,,7/9/2009,,,Dog,,"Terrier, American Pit Bull / Mix",,,,,White / Tan,,Yes / Female,
5211,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16594356,,,,Ruby,,6/28/2000,,,Dog,,Beauceron,,,,,Black / Rust,,Yes / Female,
0216,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18671503,,,,Pringle,,8/18/2008,,,Dog,,"Terrier, Staffordshire Bull",,,,,Black / White,,No / Male,
5477,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16870784,,,,Sasha,,1/1/2012,,,Dog,,Perro de Presa Canario,,,,,Fawn,,No / Female,
1197,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH LT,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17383756,,,,Bumpo,,,,,Dog,,Newfoundland,,,,,Black,,No / Male,
4112,,,Expired,6/28/2013 7:22:42 PM,,Dog License No S/N,,,,,Washington Humane Society,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,LIC Rabies,,12/31/2013,,,12/31/2016,,,
A15468840,,,,Xena,,2/20/2011,,,Dog,,German Shepherd,,,,,Black / Tan,,No / Unknown,
2251,,,Expired,6/30/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2012,,No,,,,,LIC Rabies,,12/31/2013,,,12/31/2016,,,
A15468840,,,,Xena,,2/20/2011,,,Dog,,German Shepherd,,,,,Black / Tan,,No / Unknown,
4681,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17361111,,,,Champ,,10/2/2010,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
5657,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DCACC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17545675,,,,Caramelo,,5/25/2012,,,Dog,,Havanese / Mix,,,,,Blond,,No / Male,
5696,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17119512,,,,Velocity,,8/31/2011,,,Dog,,"Terrier, American Pit Bull / Mix",,,,,Grey,,No / Male,
5685,,,Cancelled (Deceased),10/14/2012 12:21:57 PM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17259898,,,,Bill,,9/20/2000,,,Dog,,Chow Chow / Mix,,,,,Black,,No / Male,
5674,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17174028,,,,Bear,,9/8/2005,,,Dog,,German Shepherd,,,,,Black / Tan,,No / Male,
3638,,,Inactive,12/17/2013 3:08:05 PM,,Dog License No S/N,,,,,DOH LT,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17529487,,,,Brinks,,6/23/2012,,,Dog,,"Retriever, Labrador",,,,,White,,No / Male,
5698,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17209349,,,,Connie,,6/13/2012,,,Dog,,Akita / Chinese Shar-Pei,,,,,Brown / White,,Yes / Female,
4683,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18903784,,,,Diva,,7/15/2010,,,Dog,,Perro de Presa Canario,,,,,Brown / White,,No / Female,
5476,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A16870811,,,,Wolverine,,1/17/2012,,,Dog,,Perro de Presa Canario,,,,,Black / Brown,,No / Male,
2264,,,Cancelled (Deceased),5/31/2013 12:00:00 AM,,Dog License No S/N,,,,,DOH MH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17386941,,,,Sweetpea,,10/5/2006,,,Dog,,"Bulldog, American",,,,,Brown,,No / Female,
3911,,,Expired,6/30/2012 12:00:00 AM,,Dog License No S/N,,,,,DC,,,,,$50.00,,,
,,,,6/30/2012,,No,,,,,,,,,,,,,
A15831824,,,,Dutchess,,6/26/2011,,,Dog,,"Terrier, Pit Bull / Mix",,,,,Brown,,No / Female,
0907,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19128757,,,,Rocky 25,,12/15/2007,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0911,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19128968,,,,Maco,,8/1/2002,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0963,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19130504,,,,Chris,,11/5/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0966,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19130595,,,,Bobo,,3/8/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0987,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19131231,,,,Quando,,5/15/2001,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,Yes / Male,
3805,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18750457,,,,Adonis,,12/18/2005,,,Dog,,"Terrier, Yorkshire",,,,,Silver / Tan,,No / Male,
0220,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18018277,,,,Seamus,,8/3/2012,,,Dog,,"Bulldog, English",,,,,Brindle,,No / Male,
0615,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19107151,,,,Pancho,,3/26/2011,,,Dog,,"Schnauzer, Miniature / Mix",,,,,Grey / Black,,No / Male,
0465,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18681311,,,,Negrita,,1/1/2007,,,Dog,,Xoloitzcuintli / Mix,,,,,Black,,No / Female,
1778,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18016591,,,,Argos,,12/3/2009,,,Dog,,Rottweiler,,,,,Black / Brown,,No / Male,
0428,,,Cancelled (No longer owns),5/6/2013 12:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17968627,,,,Kluver,,,,,Dog,,Boxer,,,,,Fawn,,Yes / Male,
0285,,,Inactive,4/1/2014 11:08:24 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18674770,,,,Shadow,,5/2/2009,,,Dog,,"Schnauzer, Miniature",,,,,Black,,No / Male,
2362,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH LT,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18687126,,,,Bugsy,,1/1/2004,,,Dog,,"Retriever, Labrador",,,,,Black / Tan,,No / Male,
1204,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19147818,,,,Bella,,2/13/2012,,,Dog,,Perro de Presa Canario / Mix,,,,,Tan,,No / Female,
246,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18672585,,,,Hamilton,,3/27/2011,,,Dog,,"Welsh Corgi, Cardigan",,,,,Brown / Tan,,No / Male,
0486,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18681596,,,,Deluxe,,1/16/2012,,,Dog,,"Retriever, Labrador",,,,,Chocolate,,Yes / Male,
1336,,,Inactive,8/9/2013 10:40:22 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19160211,,,,Arthur,,2/15/2007,,,Dog,,"Retriever, Labrador / Mix",,,,,Yellow,,No / Male,
1300,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19157939,,,,Buffy,,,,,Dog,,"Terrier, Jack Russell / Mix",,,,,Tan / White,,No / Female,
3537,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH LT,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A17538911,,,,Bora,,5/24/2012,,,Dog,,"Retriever, Labrador",,,,,Yellow,,No / Female,
0286,,,Inactive,12/17/2013 11:28:10 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18675027,,,,Rosie,,1/6/2009,,,Dog,,"Retriever, Labrador",,,,,Red,,No / Female,
0903,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19128676,,,,Dino,,1/10/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0968,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19130665,,,,Wizard,,3/8/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,Yes / Male,
0970,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19130733,,,,LB,,4/14/2008,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0977,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19130934,,,,Nedy,,6/15/2004,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0982,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19131101,,,,Saly,,5/9/2005,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0985,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19131201,,,,Rexo,,10/2/2001,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
0406,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18675865,,,,Oliver Taft,,7/29/2011,,,Dog,,Miniature Pinscher / Terrier,,,,,Chocolate / White,,Yes / Male,
0411,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DOH,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18678580,,,,Nora,,6/29/2011,,,Dog,,"Vizsla, Smooth Haired",,,,,Rust,,No / Female,
0986,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19131219,,,,Rex,,10/14/2001,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
3809,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18868273,,,,Roxy,,7/8/2012,,,Dog,,"Terrier, Pit Bull",,,,,Blue / White,,No / Female,
0731,,,Inactive,1/16/2014 10:20:23 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19068153,,,,Kydie,,,,,Dog,,Akita,,,,,Brown / White,,No / Female,
0396,,,Inactive,2/11/2014 11:15:24 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19098350,,,,Gus,,2/20/2005,,,Dog,,Brittany / Mix,,,,,Brown / White,,No / Male,
4690,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19104055,,,,Guinness,,2/7/2008,,,Dog,,German Shepherd / Mix,,,,,Black / Tan,,No / Male,
4678,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,National Capital Area Spay and Neuter Center,,,,,$52.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18801043,,,,Kumi,,12/28/2004,,,Dog,,Boerboel,,,,,Brindle,,No / Male,
1141,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19144673,,,,Jazz,,2/13/2012,,,Dog,,"Retriever, Labrador / Border Collie",,,,,Black / White,,No / Male,
0866,,,Inactive,1/23/2014 11:30:26 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19126722,,,,Sir Bugsy,,,,,Dog,,"Chihuahua, Short Coat / Mix",,,,,Tan,,No / Male,
0143,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19095310,,,,Snowball,,,,,Dog,,Bulldog / Mix,,,,,White,,No / Male,
1360,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A19163071,,,,Yankee Doodle,,6/20/2010,,,Dog,,"Retriever, Labrador / Mix",,,,,Cream,,No / Male,
1812,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Animal Care and Control,,,,,$50.00,,,
,,,,6/30/2013,,No,,,,,,,,,,,,,
A18815414,,,,Bailey,,12/31/2005,,,Dog,,"Retriever, Labrador",,,,,Yellow,,Yes / Male,
4247,,,Expired,4/27/2016 1:00:00 AM,,Dog License No S/N,,,,,DC Department of Health,,,,,$50.00,,,
