"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"138","A17383756","Bumpo","","Dog","Newfoundland","Black","No / Male","1197","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH LT","$50.00","","6/30/2013","No","","","",""
"141","A15468840","Xena","2/20/2011","Dog","German Shepherd","Black / Tan","No / Unknown","4112","Expired","6/28/2013 7:22:42 PM","Dog License No S/N","Washington Humane Society","$50.00","","6/30/2013","No","LIC Rabies","12/31/2013","12/31/2016",""
"144","A15468840","Xena","2/20/2011","Dog","German Shepherd","Black / Tan","No / Unknown","2251","Expired","6/30/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2012","No","LIC Rabies","12/31/2013","12/31/2016",""
"147","A17361111","Champ","10/2/2010","Dog","German Shepherd / Mix","Black / Tan","No / Male","4681","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"150","A17545675","Caramelo","5/25/2012","Dog","Havanese / Mix","Blond","No / Male","5657","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DCACC","$50.00","","6/30/2013","No","","","",""
"153","A17119512","Velocity","8/31/2011","Dog","Terrier, American Pit Bull / Mix","Grey","No / Male","5696","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"156","A17259898","Bill","9/20/2000","Dog","Chow Chow / Mix","Black","No / Male","5685","Cancelled (Deceased)","10/14/2012 12:21:57 PM","Dog License No S/N","DC Animal Care and Control","$50.00","","6/30/2013","No","","","",""
"159","A17174028","Bear","9/8/2005","Dog","German Shepherd","Black / Tan","No / Male","5674","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"162","A17529487","Brinks","6/23/2012","Dog","Retriever, Labrador","White","No / Male","3638","Inactive","12/17/2013 3:08:05 PM","Dog License No S/N","DOH LT","$50.00","","6/30/2013","No","","","",""
"165","A17209349","Connie","6/13/2012","Dog","Akita / Chinese Shar-Pei","Brown / White","Yes / Female","5698","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Animal Care and Control","$50.00","","6/30/2013","No","","","",""
"168","A18903784","Diva","7/15/2010","Dog","Perro de Presa Canario","Brown / White","No / Female","4683","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"171","A16870811","Wolverine","1/17/2012","Dog","Perro de Presa Canario","Black / Brown","No / Male","5476","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2013","No","","","",""
"174","A17386941","Sweetpea","10/5/2006","Dog","Bulldog, American","Brown","No / Female","2264","Cancelled (Deceased)","5/31/2013 12:00:00 AM","Dog License No S/N","DOH MH","$50.00","","6/30/2013","No","","","",""
"177","A15831824","Dutchess","6/26/2011","Dog","Terrier, Pit Bull / Mix","Brown","No / Female","3911","Expired","6/30/2012 12:00:00 AM","Dog License No S/N","DC","$50.00","","6/30/2012","No","","","",""
"180","A19128757","Rocky 25","12/15/2007","Dog","German Shepherd / Mix","Black / Tan","No / Male","0907","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"183","A19128968","Maco","8/1/2002","Dog","German Shepherd / Mix","Black / Tan","No / Male","0911","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"186","A19130504","Chris","11/5/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0963","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"189","A19130595","Bobo","3/8/2005","Dog","German Shepherd / Mix","Black / Tan","No / Male","0966","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"192","A19131231","Quando","5/15/2001","Dog","German Shepherd / Mix","Black / Tan","Yes / Male","0987","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"195","A18750457","Adonis","12/18/2005","Dog","Terrier, Yorkshire","Silver / Tan","No / Male","3805","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"198","A18018277","Seamus","8/3/2012","Dog","Bulldog, English","Brindle","No / Male","0220","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"201","A19107151","Pancho","3/26/2011","Dog","Schnauzer, Miniature / Mix","Grey / Black","No / Male","0615","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"204","A18681311","Negrita","1/1/2007","Dog","Xoloitzcuintli / Mix","Black","No / Female","0465","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"207","A18016591","Argos","12/3/2009","Dog","Rottweiler","Black / Brown","No / Male","1778","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"210","A17968627","Kluver","","Dog","Boxer","Fawn","Yes / Male","0428","Cancelled (No longer owns)","5/6/2013 12:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"213","A18674770","Shadow","5/2/2009","Dog","Schnauzer, Miniature","Black","No / Male","0285","Inactive","4/1/2014 11:08:24 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"216","A18687126","Bugsy","1/1/2004","Dog","Retriever, Labrador","Black / Tan","No / Male","2362","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH LT","$50.00","","6/30/2013","No","","","",""
"219","A19147818","Bella","2/13/2012","Dog","Perro de Presa Canario / Mix","Tan","No / Female","1204","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"222","A18672585","Hamilton","3/27/2011","Dog","Welsh Corgi, Cardigan","Brown / Tan","No / Male","246","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"225","A18681596","Deluxe","1/16/2012","Dog","Retriever, Labrador","Chocolate","Yes / Male","0486","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"228","A19160211","Arthur","2/15/2007","Dog","Retriever, Labrador / Mix","Yellow","No / Male","1336","Inactive","8/9/2013 10:40:22 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"231","A19157939","Buffy","","Dog","Terrier, Jack Russell / Mix","Tan / White","No / Female","1300","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"234","A17538911","Bora","5/24/2012","Dog","Retriever, Labrador","Yellow","No / Female","3537","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH LT","$50.00","","6/30/2013","No","","","",""
"237","A18675027","Rosie","1/6/2009","Dog","Retriever, Labrador","Red","No / Female","0286","Inactive","12/17/2013 11:28:10 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"240","A19128676","Dino","1/10/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0903","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"243","A19130665","Wizard","3/8/2005","Dog","German Shepherd / Mix","Black / Tan","Yes / Male","0968","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"246","A19130733","LB","4/14/2008","Dog","German Shepherd / Mix","Black / Tan","No / Male","0970","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"249","A19130934","Nedy","6/15/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0977","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"252","A19131101","Saly","5/9/2005","Dog","German Shepherd / Mix","Black / Tan","No / Male","0982","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"255","A19131201","Rexo","10/2/2001","Dog","German Shepherd / Mix","Black / Tan","No / Male","0985","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"258","A18675865","Oliver Taft","7/29/2011","Dog","Miniature Pinscher / Terrier","Chocolate / White","Yes / Male","0406","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"261","A18678580","Nora","6/29/2011","Dog","Vizsla, Smooth Haired","Rust","No / Female","0411","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DOH","$50.00","","6/30/2013","No","","","",""
"264","A19131219","Rex","10/14/2001","Dog","German Shepherd / Mix","Black / Tan","No / Male","0986","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"267","A18868273","Roxy","7/8/2012","Dog","Terrier, Pit Bull","Blue / White","No / Female","3809","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"270","A19068153","Kydie","","Dog","Akita","Brown / White","No / Female","0731","Inactive","1/16/2014 10:20:23 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"273","A19098350","Gus","2/20/2005","Dog","Brittany / Mix","Brown / White","No / Male","0396","Inactive","2/11/2014 11:15:24 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"276","A19104055","Guinness","2/7/2008","Dog","German Shepherd / Mix","Black / Tan","No / Male","4690","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"279","A18801043","Kumi","12/28/2004","Dog","Boerboel","Brindle","No / Male","4678","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$52.00","","6/30/2013","No","","","",""
"282","A19144673","Jazz","2/13/2012","Dog","Retriever, Labrador / Border Collie","Black / White","No / Male","1141","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"285","A19126722","Sir Bugsy","","Dog","Chihuahua, Short Coat / Mix","Tan","No / Male","0866","Inactive","1/23/2014 11:30:26 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"288","A19095310","Snowball","","Dog","Bulldog / Mix","White","No / Male","0143","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"291","A19163071","Yankee Doodle","6/20/2010","Dog","Retriever, Labrador / Mix","Cream","No / Male","1360","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"294","A18815414","Bailey","12/31/2005","Dog","Retriever, Labrador","Yellow","Yes / Male","1812","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Animal Care and Control","$50.00","","6/30/2013","No","","","",""
"297","A19076662","Duke","2/3/2008","Dog","Beagle / Mix","Brown / Black","No / Male","4247","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"300","A19128772","Rino","2/17/2007","Dog","German Shepherd / Mix","Black / Tan","No / Male","0908","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"303","A19128989","Lefty","10/21/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0912","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"306","A19128721","Ned","7/20/2005","Dog","German Shepherd / Mix","Black / Sable","No / Male","0905","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"309","A19129006","Fox","4/5/2005","Dog","German Shepherd / Mix","Black / Tan","No / Male","0913","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"312","A19130627","Bak","11/22/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0967","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"315","A19131027","Xandro","12/20/2005","Dog","German Shepherd / Mix","Black / Fawn","No / Male","0980","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"318","A19131078","Tif","10/20/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0981","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"321","A19131127","Rocky","4/27/2004","Dog","Belgian Malinois / Mix","Fawn","No / Male","0924","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2014","No","","","",""
"324","A19130557","Ceasar 20","3/8/2005","Dog","German Shepherd / Mix","Black / Sable","No / Male","0965","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"327","A19128740","Svetly","7/25/2006","Dog","German Shepherd / Mix","Black / Tan","No / Male","0906","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"330","A19130859","Red","6/5/2006","Dog","Retriever, Labrador / Mix","Brown","No / Male","0974","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"333","A18696919","Raven","2/7/2008","Dog","Bulldog, American / Mix","White","No / Female","4694","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"336","A18801007","Kilo","12/28/2008","Dog","Boerboel","Tan","No / Female","4680","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$52.00","","6/30/2013","No","","","",""
"339","A19136078","Whistler","2/12/2011","Dog","Terrier, Pit Bull / Mix","Black / White","No / Male","1046","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"342","A19129018","Edo","9/7/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0914","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"345","A19129050","Nord","5/25/2004","Dog","German Shepherd / Mix","Black / Tan","No / Male","0916","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"348","A19130956","Bady","1/15/2008","Dog","German Shepherd / Mix","Black / Tan","No / Male","0978","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"351","A19130979","Tony","6/2/2005","Dog","German Shepherd / Mix","Black / Tan","No / Male","0979","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"354","A19162025","Emma","10/1/2001","Dog","Beagle / Mix","Brown / Black","Yes / Female","1349","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"357","A19190712","Riley","2/19/2008","Dog","Beagle / Mix","White / Brown","No / Female","1372","Inactive","3/26/2014 12:49:24 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"360","A19154580","Pete","","Dog","Terrier, Jack Russell / Mix","Brown / White","No / Male","1282","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"363","A18904406","Juliet","1/14/2007","Dog","Terrier, Silky","Tan / Silver","No / Female","4687","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"366","A18801022","Bella","5/28/2012","Dog","Bulldog, English","Brindle / White","No / Female","4677","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$52.00","","6/30/2013","No","","","",""
"369","A19236054","Precious","8/25/2008","Dog","Retriever, Labrador / Mix","Tan","No / Unknown","4529","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"372","A19238344","Lola","2/26/2010","Dog","Pomeranian","Blond","Yes / Female","4556","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"375","A19196235","Greta","","Dog","Terrier, Jack Russell / Mix","Brindle","No / Female","1445","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"378","A19238838","Jade","2/26/2009","Dog","Terrier, Pit Bull / Mix","Beige","No / Female","4560","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"381","A19239240","Cain","9/26/2012","Dog","Perro de Presa Canario","Tan","No / Male","4584","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"384","A19235477","Pepper Ann","","Dog","Collie, Smooth / Mix","White / Tan","No / Female","1899","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"387","A19129040","Edik","3/10/2005","Dog","German Shepherd / Mix","Black / Tan","No / Male","0915","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"390","A19130537","Charon","7/9/2002","Dog","German Shepherd / Mix","Black / Tan","No / Male","0964","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
