"PHARMACY.NAME","STREET.ADDRESS","lon","lat","WARD_ID"
"CHILDRENSNATIONALMEDICALCENTERPHARMACY","111 MICHIGAN AVE NW",-77.014524,38.9273107,5
"FortLincolnPharmacyMedicalEquipmentLLC","3180 BLADENSBURG RD NE",-76.9600096,38.9297213,5
"APEXCARESPECIALTYPHARMACY","210 MICHIGAN AVE NE",-77.0029753,38.9301706,5
"WALGREENS15949","111 MICHIGAN AVE NW",-77.014524,38.9273107,5
"SUPERPHARMACYLLC","1019 H ST NE",-76.9918565,38.899985,6
"CVSPHARMACY1348","1100 4TH ST SW",-77.0172102,38.8776475,6
"SAFEWAYPHARMACY2892","1100 4TH ST SW",-77.0172102,38.8776475,6
"CVSPHARMACY7102","1100 NEW JERSEY AVENUE SE",-77.0039309,38.8770064,6
"CVSPHARMACY7174","1200 1ST ST NE",-77.006302,38.9060727,6
"HARRISTEETER352","1201 1ST ST NE",-77.0056131,38.9059317,6
"HARRISTEETERPHARMACY282","1350 POTOMAC AVE SE",-76.9868401,38.8801381,6
"STERLINGPHARMACY","1647 BENNING RD NE",-76.9798921,38.899228,6
"GRUBBSCAREPHARMACY","326 EAST CAPITOL ST NE",-77.00077,38.8901066,6
"CVSPHARMACY7218","400 MASSACHUSETTS AVE NW",-77.0170565,38.9000788,6
"CVSPHARMACY1348","401 M STREET SW",-77.0181687,38.8767074,6
"SAFEWAYPHARMACY4205","415 14TH ST SE",-76.9865731,38.8835567,6
"CVSPHARMACY2490","435 8TH STREET NW",-77.0227096,38.8958153,6
"SAFEWAYPHARMACY2737","490 L ST NW",-77.0186955,38.9035684,6
"CVSPHARMACY1344","500 12TH ST SE",-76.9898822,38.8825343,6
"CAPITOLHILLCAREPHARMACY","650 PENNSYLVANIA AVE SE",-76.9969706,38.8853816,6
"CVSPHARMACY1338","661 PENNSYLVANIA AVE SE",-76.9964582,38.8844827,6
"KAISERPERMANENTECAPITOLHILL","700 2ND ST NE",-77.0039856,38.8995004,6
"DCACAPITOLHILLLTACHLLC","700 CONSTITUTION AVE NE",-76.9958349,38.8930476,6
"GENOAaQoLHEALTHCARECOMPANYLLC","801 PENNSYLVANIA AVE SE",-76.994593,38.8836013,6
"HSTREETCAREPHARMACYANDWELLNESSCENTERLLC","812 H ST NE",-76.994296,38.9005001,6
"CVSPHARMACY10287","645 H ST NE",-76.9965906,38.8999249,6
"GIANTPHARMACY2381","300 H STREET NE",-77.0017432,38.9004177,6
"HARRISTEETERPHARMACY383","401 M STREET SE",-77.0000269,38.8761494,6
"HERITAGEPHARMACYCORP","770 M STREET SE",-76.995574,38.877003,6
"WALMARTPHARMACY105941","99 H STREET NW",-77.0119338,38.9004177,6
"CVSPHARMACY1360","2646 NAYLOR ROAD SE",-76.9684078,38.8619107,7
"SAFEWAYPHARMACY1445","2845 ALABAMA AVE SE",-76.9664061,38.8590171,7
"CVSPHARMACY22","320 40TH STREET NE",-76.9477347,38.8935014,7
"CVSPHARMACY1335","3240 PENNSYLVANIA AVE SE",-76.9596995,38.8697497,7
"SEATPLEASANTDRUGS","354 EASTERN AVE NE",-76.911295,38.89398,7
"APEXCAREPHARMACY","3839 MINNESOTA AVE NE",-76.9503785,38.8928722,7
"FLEXCAREPHARMACY","3861 ALABAMA AVE SE",-76.950135,38.8666407,7
"RELIANCEPHARMACY","4047 MINNESOTA AVE SE",-76.9527008,38.8901763,7
"NOTFORPROFITHOSPITALCORP","1310 SOUTHERN AVE SE",-76.9849936,38.8359393,8
"GIANTPHARMACY384","1535 ALABAMA AVE SE",-76.9810155,38.8448957,8
"GRUBBSPHARMACYSEINC","1800 MLK JR AVE SE",-76.9880505,38.8675965,8
"NEIGHBORHOODPHARMACY","1932 MARTIN LUTHER KING JR AVE SE",-76.9887331,38.8666465,8
"STATEPHARMACYINC","2041 MARTIN LUTHER KING JR AVE SE",-76.9897997,38.8659837,8
"CENTRALPHARMACYLLC","2202 MARTIN LUTHER KING JR AVE SE",-76.9896305,38.8646988,8
"GOODCAREPHARMACY","2910 MARTIN LUTHER KING JR AVE SE",-76.9965848,38.8456836,8
"RITEAIDPHARMACY4822","4635 SOUTH CAPITOL ST SW",-77.0028208,38.821869,8
"DCAHADLEYLTACHLLC","4601 MARTIN LUTHER KING JR AVE",-77.0132852,38.8250714,8
"EXCELPHARMACY","3923 SOUTH CAPITOL STREET SW",-77.0085726,38.8320268,8
"SAFEWAYPHARMACY2808","4551 FORBES BLVD",-76.833127,38.952349,3
